step,train/node_label/f1_score,train/loss/total,train/loss/node_label,train/node_label/accuracy,epoch,lr-Adam,val/loss/node_label,val/node_label/f1_score,val/node_label/accuracy,val/loss/total,test/loss/total,test/node_label/accuracy,test/loss/node_label,test/node_label/f1_score
3819,,,,,,0.001,,,,,,,,
3849,,,,,,0.001,,,,,,,,
3849,0.6488602757453918,1.3121092319488525,1.3121092319488525,0.12408309429883957,57,,,,,,,,,
3885,,,,,57,,1.654388427734375,0.5517604947090149,0.14054502546787262,1.654388427734375,,,,
3886,,,,,,0.001,,,,,,,,
3899,,,,,,0.001,,,,,,,,
3899,0.6562389135360718,1.274976134300232,1.274976134300232,0.10020225495100021,58,,,,,,,,,
3949,,,,,,0.001,,,,,,,,
3949,0.7954131364822388,1.1913357973098755,1.1913357973098755,0.2412828654050827,58,,,,,,,,,
3952,,,,,58,,1.6583216190338135,0.5291852951049805,0.10550394654273987,1.6583216190338135,,,,
3953,,,,,,0.001,,,,,,,,
3999,,,,,,0.001,,,,,,,,
3999,0.7317616939544678,1.1931664943695068,1.1931664943695068,0.20696449279785156,59,,,,,,,,,
4019,,,,,59,,1.690421462059021,0.5305911302566528,0.13152913749217987,1.690421462059021,,,,
4020,,,,,,0.001,,,,,,,,
4049,,,,,,0.001,,,,,,,,
4049,0.6843215227127075,1.3011616468429565,1.3011616468429565,0.18740946054458618,60,,,,,,,,,
4086,,,,,60,,1.6326673030853271,0.5330283045768738,0.10509990155696869,1.6326673030853271,,,,
4087,,,,,,0.001,,,,,,,,
4099,,,,,,0.001,,,,,,,,
4099,0.7388365268707275,1.216333031654358,1.216333031654358,0.1976432055234909,61,,,,,,,,,
4149,,,,,,0.001,,,,,,,,
4149,0.7205358147621155,1.1992183923721313,1.1992183923721313,0.13972406089305878,61,,,,,,,,,
4153,,,,,61,,1.6854884624481201,0.5211026072502136,0.12970134615898132,1.6854884624481201,,,,
4154,,,,,,0.001,,,,,,,,
4199,,,,,,0.001,,,,,,,,
4199,0.7230257987976074,1.262337565422058,1.262337565422058,0.15535925328731537,62,,,,,,,,,
4220,,,,,62,,1.6816234588623047,0.5064356327056885,0.11014704406261444,1.6816234588623047,,,,
4221,,,,,,0.001,,,,,,,,
4249,,,,,,0.001,,,,,,,,
4249,0.7208878993988037,1.2170478105545044,1.2170478105545044,0.20054051280021667,63,,,,,,,,,
4287,,,,,63,,1.6275635957717896,0.5285244584083557,0.09439510107040405,1.6275635957717896,,,,
4288,,,,,,0.001,,,,,,,,
4299,,,,,,0.001,,,,,,,,
4299,0.6448864340782166,1.2826509475708008,1.2826509475708008,0.1106312945485115,64,,,,,,,,,
4349,,,,,,0.001,,,,,,,,
4349,0.6687076687812805,1.2818299531936646,1.2818299531936646,0.1055343747138977,64,,,,,,,,,
4354,,,,,64,,1.7195509672164917,0.5019456148147583,0.12229421734809875,1.7195509672164917,,,,
4355,,,,,,0.001,,,,,,,,
4399,,,,,,0.001,,,,,,,,
4399,0.7022943496704102,1.198699712753296,1.198699712753296,0.14184631407260895,65,,,,,,,,,
4421,,,,,65,,1.6737762689590454,0.5192078351974487,0.11894809454679489,1.6737762689590454,,,,
4422,,,,,,0.001,,,,,,,,
4449,,,,,,0.001,,,,,,,,
4449,0.7254059910774231,1.187536358833313,1.187536358833313,0.185164213180542,66,,,,,,,,,
4488,,,,,66,,1.688383936882019,0.5094395279884338,0.12518735229969025,1.688383936882019,,,,
4489,,,,,,0.001,,,,,,,,
4499,,,,,,0.001,,,,,,,,
4499,0.7176990509033203,1.2690892219543457,1.2690892219543457,0.1759137362241745,67,,,,,,,,,
4549,,,,,,0.001,,,,,,,,
4549,0.7109531164169312,1.271583080291748,1.271583080291748,0.14712949097156525,67,,,,,,,,,
4555,,,,,67,,1.6707496643066406,0.5232446789741516,0.11509072035551071,1.6707496643066406,,,,
4556,,,,,,0.001,,,,,,,,
4599,,,,,,0.001,,,,,,,,
